效果表现ID,效果名称,效果持续时间,是否跟随,动作1_名称,动作1_触发时间,动作1_持续时间,动作2_名称,_触发时间,动作2_持续时间,动作3_名称,动作3_持续时间,动作3_触发时间,震屏时间1,震屏时间2,震屏时间3,震屏时间4,震屏时间5,特效1_资源ID,特效类型,特效1_挂接点,特效1_位置_X,特效1_位置_Y,特效1_位置_Z,特效1_旋转_X,特效1_旋转_Y,特效1_旋转_Z,特效1_触发时间,特效1_持续时间,特效2_资源ID,特效类型,特效2_挂接点,特效2_位置_X,特效2_位置_Y,特效2_位置_Z,特效2_旋转_X,特效2_旋转_Y,特效2_旋转_Z,特效2_触发时间,特效2_持续时间,特效3_资源ID,特效类型,特效3_挂接点,特效3_位置_X,特效3_位置_Y,特效3_位置_Z,特效3_旋转_X,特效3_旋转_Y,特效3_旋转_Z,特效3_触发时间,特效3_持续时间,特效4_资源ID,特效类型,特效4_挂接点,特效4_位置_X,特效4_位置_Y,特效4_位置_Z,特效4_旋转_X,特效4_旋转_Y,特效4_旋转_Z,特效4_触发时间,特效4_持续时间,特效5_资源ID,特效类型,特效5_挂接点,特效5_位置_X,特效5_位置_Y,特效5_位置_Z,特效5_旋转_X,特效5_旋转_Y,特效5_旋转_Z,特效5_触发时间,特效5_持续时间,声音1_资源ID,声音1_触发时间,声音1_持续时间,_声音2_资源ID,_声音2_触发时间,声音2_持续时间,_声音3_资源ID,_声音3_触发时间,声音3_持续时间,_声音4_资源ID,_声音4_触发时间,声音4_持续时间,_声音5_资源ID,_声音5_触发时间,声音5_持续时间
int,nstring,float,int,string,float,float,string,float,float,string,float,float,float,float,float,float,float,string,string,string,float,float,float,float,float,float,float,float,string,string,string,float,float,float,float,float,float,float,float,string,string,string,float,float,float,float,float,float,float,float,string,string,string,float,float,float,float,float,float,float,float,string,string,string,float,float,float,float,float,float,float,float,string,float,float,string,float,float,string,float,float,string,float,float,string,float,float
1,战车炮弹攻击,1,0,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,tankfire,0,0,None,0,0,None,0,0,None,0,0,None,0,0
2,战车火枪受击,2,1,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,sdexplode01,pt,center,0,0,0,0,0,0,0,2,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,sdexplode01,0,0,None,0,0,None,0,0,None,0,0,None,0,0
3,战车火枪攻击,-1,1,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,fxflames01,pt,fire,0,0,0,0,0,0,0.5,3,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,0,0,None,0,0,None,0,0,None,0,0,None,0,0
4,黄色开火,0.1,1,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,firing,pt,fire,0,0,0,0,0,0,0,0.08,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,tankfire,0,0,None,0,0,None,0,0,None,0,0,None,0,0
5,战车炮弹击中,2,1,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,explosionsmall,pt,center,0,0,0,0,0,0,0,1,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,sdexplode01,0,0,None,0,0,None,0,0,None,0,0,None,0,0
6,战车火枪攻击,-1,1,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,fxflames02,pt,fire,0,0,0,0,0,0,0.5,3,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,sdfireshoot,0,0,None,0,0,None,0,0,None,0,0,None,0,0
7,战车死亡2d,1,0,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,fxexplosion06,tk,None,0,0,0,0,0,0,0,0.5,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,sdexplode01,0,0,None,0,0,None,0,0,None,0,0,None,0,0
8,蓝色开火,1,1,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,firingblue,pt,fire,0,0,0,0,0,0,0,0.08,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,tankfire,0,0,None,0,0,None,0,0,None,0,0,None,0,0
9,战车电锯攻击,0.8,1,None,0,0,None,0,0,None,0,0,-1,-1,-1,-1,-1,fxtesla,pt,fire,0,0,0,0,0,0,0,0.8,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,sdteslashoot,0,0,None,0,0,None,0,0,None,0,0,None,0,0
