关卡ID,所属章节,关卡序号,简单副本ID,困难副本ID,精英副本ID
int,int,int,int,int,int
1,1,1,101,101,101
1,1,2,101,101,101
1,1,3,101,101,101
1,1,4,101,101,101
1,1,5,101,101,101
1,1,6,101,101,101
1,1,7,101,101,101
1,1,8,101,101,101
1,2,1,101,101,101
1,2,2,101,101,101
1,2,3,101,101,101
1,2,4,101,101,101
1,2,5,101,101,101
1,2,6,101,101,101
1,2,7,101,101,101
1,2,8,101,101,101
1,3,1,101,101,101
1,3,2,101,101,101
1,3,3,101,101,101
1,3,4,101,101,101
1,3,5,101,101,101
1,3,6,101,101,101
1,3,7,101,101,101
1,3,8,101,101,101
